range	bloomHash	bloomSize	indexHash	indexSize
000000000-000000000	QmdREgbfg2kWNYLps12G8sR1tLxDBM67nNoNevcbLVWyK5	131114	QmevozuTsKZ2pAWw89DGQFbPhzKdDcf141Y1Qhizt5kikr	320192
000000001-000590510	Qmd1aVEJZVKAVLjbdfKxEmRhC6Ja1djS69q2jqzJGzrVP3	131114	QmetD8FTcPfaXsfoX12q62TNVAFZayVbP8sTojWhkVHxUc	16821332
000590511-000864345	QmRv3Fayhfvm7byduqcK8jXouYoSHb67Ekz5J9FpEsDrhV	524342	Qmbp6ZRRhjrCUxxtzHAj3ykZ2wJ3Tii9T7i3DTcuLMbdTd	20604676
000864346-001076302	QmWYdcmtQT8f6u8CdWK4ALThTvmckZcpJnjqv4zfvJjZKn	262190	QmVk7VXTWeHfokBn7wjk88LKCFWkAWVDbZCy4KcQ7dntbh	18268324
001076303-001229773	QmUhb1FMiHNMXLS9RzhpZ6pSjqhbunsCxdY3CpH5PgFdo1	262190	QmNPRcphhgj8Qf5eZ2Sswdp2xGZE76zTZNiohgtQ4Lzqpm	18376376
001229774-001371360	QmUR1qGBhWmAYqj71cYgDeGaZSUXUnZ4oRVveEJ1v1XKBh	262190	QmXrysJp73nUnBwGeR8TGH91qwkx3PRmmDMa3tf6MtKdop	17737464
001371361-001504334	Qmexusa5uDCgG65VkYUYBrNGcPPPw7x2i3BfFhF2tB5eQm	262190	QmcEZK4csNh3nEEA613Wnu3dkB8QFw9uqg97WJv1FHtuhT	18186324
001504335-001613037	Qmf8xwGB3EcM5ZmeRKWEVNEtRXpHCxnx8xwyhZgDUdDKKT	393266	QmPu6kEdjvFPemJRxiK5LcpUFD7kxfY35YEWJdfHY75KH2	19273720
001613038-001729014	QmZJALNEQ5hYYw3n6B9jPDCgbNVr6kqhVBSKJTZMbMhE5t	393266	QmW85Kq2KWqiixw4UvCBpjkLgeZp4sDgBWzPyAuwf5EecV	19736132
001729015-001848056	QmbYRox2nexKQfmykSXZxthbq8YcDsamDcqFigWooyDEAc	393266	QmZfDnYEmVBsj9MCKUAdNMCTh3UYqibWd6NZR5AvzDCwjU	19450532
001848057-001963111	QmYC8UZJfRrkRWFiin71SRmSvkhkbK7eGcPCdZQwvKQck9	393266	QmTQYWQ7SLZyNrJnPigr1ZjCXu7M7KJV2Nbkh28ojezNtV	19881428
001963112-002067763	QmexYHs8XZ3xDDDEEADzR4Qn5DXV2nTzpEhwSh4NviCHYp	393266	Qmb2yUMF6gEJ2WCWauo4rEvbws1Th2GtuHkBi3KDpBTmXT	18933904
002067764-002172382	QmUwtcnqJ5eukoaFMtZs18vocLhYSqy5zrvBUBX8bHfqkJ	262190	QmNvyNeb8yqKJbgb6UNy9iM2oWxsaYLWss3Neg4UhXkZWC	18302684
002172383-002269848	QmXxd9tSjv4LuUpsUv8nS5R63cN5EwLHFxyWpyJQWT5Y28	262190	QmVQDwxAEHMvCPa1ccHaM3zXZAQwYKRqNZzDXkiudvMcrH	18534080
002269849-002288338	QmUjxhUhmYLBAWGD8RW9WyHTizQsxh3bcxr1MsRve9L6Ft	262190	QmcbN4DSQAiuqpNvLKW8tva4iSzKrYvK1Cg4u75ybNNNan	18278608
002288339-002300000	QmT4dtJePMf8LCokA1VS97BPyEM1b2T6ELFZ6WcyZZb926	262190	QmRMAG1dtj51i1y2KEEjNvRuHdLmsibpfxMg5Aw57TZAcS	4928068
002300001-002328274	QmPZx6xP2xXvK6a2hpxPW6AzbixAymrRUFya5Cy8MyEn7h	262190	QmfQHUizYzoxWGNTDEqMbGXbpeFXXYUapgC9TKWn4ddMfk	18488932
002328275-002328946	QmSbARrhP3pQQ4QR28kzrmVvUyV5ipm358DpRrSyWV9WtQ	131114	QmeUyVHs4x9VrUEQSA57Uhe8othwJLCu2mfvfvvoXXB3tx	16254832
002328947-002329552	QmShg9zVzhTrDjD8XxZGgNk47AvqkR6LkP2kYWv86JvsDC	131114	QmahrEGE8tRsXZtRZBV6ZcraGAR4rBoEUBJWjV3gp9oVbW	16268472
002329553-002335351	QmXQx7Xevtnh9GGdxRstwpwqsJdqVsKBzEabPD13pGCAAj	131114	QmRmSaoCpasd7XCmeijFVKBUkDaqx254iDwmD4cudZS9wn	16714252
002335352-002376486	QmZZfN3H75cPP9CCAYFwTq4ogHY2RSnsHXRKStkZ3f8Ldg	262190	QmV8WAcY237Bjus3V4Sx4nVmT5ftUzqWoVNoSbenhdJNBN	18179224
